traceId,product,org:resource,org:group,concept:name,resource country,impact,organization involved,lifecycle:transition,org:role,time:timestamp,organization country,
0,PROD660,Marcus,S42,Accepted,Sweden,Medium,Org line C,In Progress,V3_2,2011-04-04T17:51:24.000+0300,se,
0,PROD660,Marcus,S42,Accepted,Sweden,Medium,Org line C,In Progress,V3_2,2011-04-04T17:52:15.000+0300,se,
0,PROD660,Marcus,S43,Queued,Sweden,Medium,Org line C,Awaiting Assignment,V3_2,2011-04-04T17:58:11.000+0300,se,
0,PROD660,Sandra,S43,Accepted,Sweden,Medium,Org line C,In Progress,V3_2,2011-04-04T18:11:27.000+0300,se,
0,PROD660,Sandra,S43,Accepted,Sweden,Medium,Org line C,Assigned,V3_2,2011-04-04T18:11:37.000+0300,se,
0,PROD660,Daniel,S43,Accepted,Sweden,Medium,Org line C,In Progress,V3_2,2011-04-04T18:18:04.000+0300,se,
0,PROD660,Daniel,S43,Accepted,Sweden,Medium,Org line C,Wait - User,V3_2,2011-04-04T18:24:46.000+0300,se,
0,PROD660,Daniel,S43,Completed,Sweden,Medium,Org line C,Resolved,V3_2,2011-04-08T12:42:53.000+0300,se,
0,PROD660,Simon,S42,Accepted,Sweden,Medium,Org line C,Assigned,V3_2,2011-04-11T19:53:52.000+0300,se,
0,PROD660,Simon,S42,Accepted,Sweden,Medium,Org line C,In Progress,V3_2,2011-04-11T19:56:47.000+0300,se,
0,PROD660,Simon,S43,Queued,Sweden,Medium,Org line C,Awaiting Assignment,V3_2,2011-04-11T19:57:06.000+0300,se,
0,PROD660,Marie,S43,Accepted,Sweden,Medium,Org line C,In Progress,V3_2,2011-04-12T09:21:26.000+0300,se,
0,PROD660,Marie,S43,Accepted,Sweden,Medium,Org line C,Assigned,V3_2,2011-04-12T09:22:36.000+0300,se,
0,PROD660,Daniel,S43,Accepted,Sweden,Medium,Org line C,In Progress,V3_2,2011-04-12T10:12:13.000+0300,se,
0,PROD660,Daniel,S43,Accepted,Sweden,Medium,Org line C,Wait - User,V3_2,2011-04-12T10:12:19.000+0300,se,
0,PROD660,Sandra,S43,Accepted,Sweden,Medium,Org line C,In Progress,V3_2,2011-05-31T11:39:43.000+0300,se,
0,PROD660,Sandra,S43,Accepted,Sweden,Medium,Org line C,Wait - User,V3_2,2011-05-31T11:39:48.000+0300,se,
0,PROD660,Sandra,S43,Accepted,Sweden,Medium,Org line C,Assigned,V3_2,2011-10-28T16:22:35.000+0300,se,
0,PROD660,Björn,S43,Accepted,Sweden,Medium,Org line C,In Progress,V3_2,2011-10-31T09:06:01.000+0200,se,
0,PROD660,Björn,S43,Accepted,Sweden,Medium,Org line C,Wait - User,V3_2,2011-10-31T09:06:05.000+0200,se,
0,PROD660,Björn,S43,Accepted,Sweden,Medium,Org line C,Assigned,V3_2,2011-12-09T12:24:12.000+0200,se,
0,PROD660,Mats,S43,Accepted,Sweden,Medium,Org line C,In Progress,V3_2,2011-12-09T16:00:24.000+0200,se,
0,PROD660,Mats,S43,Accepted,Sweden,Medium,Org line C,Wait - User,V3_2,2011-12-09T16:00:29.000+0200,se,
0,PROD660,Per,S43,Accepted,Sweden,Medium,Org line C,In Progress,V3_2,2012-03-12T11:03:11.000+0200,se,
0,PROD660,Per,S43,Accepted,Sweden,Medium,Org line C,Wait - User,V3_2,2012-03-12T11:03:15.000+0200,se,
0,PROD660,Per,S43,Accepted,Sweden,Medium,Org line C,Assigned,V3_2,2012-03-19T14:15:59.000+0200,se,
0,PROD660,Björn,S43,Accepted,Sweden,Medium,Org line C,In Progress,V3_2,2012-03-19T15:21:01.000+0200,se,
0,PROD660,Björn,S43,Accepted,Sweden,Medium,Org line C,Assigned,V3_2,2012-03-19T15:23:52.000+0200,se,
0,PROD660,Mats,S43,Accepted,Sweden,Medium,Org line C,In Progress,V3_2,2012-03-20T10:32:27.000+0200,se,
0,PROD660,Mats,S43,Accepted,Sweden,Medium,Org line C,Wait - User,V3_2,2012-03-20T10:32:53.000+0200,se,
0,PROD660,Mats,S43,Completed,Sweden,Medium,Org line C,Resolved,V3_2,2012-05-02T17:01:42.000+0300,se,
0,PROD660,Siebel,S43,Completed,0,Medium,Org line C,Closed,V3_2,2012-05-10T02:20:47.000+0300,se,
1,PROD660,Filip,S42,Accepted,Sweden,Medium,Org line C,In Progress,V3_2,2012-03-19T12:39:35.000+0200,se,
1,PROD660,Filip,S42,Accepted,Sweden,Medium,Org line C,In Progress,V3_2,2012-03-19T12:42:16.000+0200,se,
1,PROD660,Filip,S43,Queued,Sweden,Medium,Org line C,Awaiting Assignment,V3_2,2012-03-19T12:49:51.000+0200,se,
1,PROD660,Marie,S43,Accepted,Sweden,Medium,Org line C,In Progress,V3_2,2012-03-19T12:56:54.000+0200,se,
