traceId;product;org:resource;org:group;organization involved;org:role;time:timestamp
0;PROD582;Frederic;V30;Org line A2;A2_4;2010-03-31T17:59:42.000+0300
0;PROD582;Frederic;V30;Org line A2;A2_4;2010-03-31T18:00:56.000+0300
0;PROD582;Frederic;V5 3rd;Org line A2;A2_5;2010-03-31T18:45:48.000+0300
0;PROD582;Anne Claire;V5 3rd;Org line A2;A2_5;2010-04-06T17:44:07.000+0300
0;PROD582;Anne Claire;V30;Org line A2;A2_4;2010-04-06T17:44:38.000+0300
0;PROD582;Anne Claire;V13 2nd 3rd;Org line A2;A2_5;2010-04-06T17:44:47.000+0300
0;PROD582;Anne Claire;V13 2nd 3rd;Org line A2;A2_5;2010-04-06T17:44:51.000+0300
0;PROD582;Anne Claire;V30;Org line A2;A2_4;2010-04-06T17:45:07.000+0300
0;PROD582;Eric;V30;Org line A2;A2_4;2010-04-08T13:52:23.000+0300
0;PROD582;Eric;V5 3rd;Org line A2;A2_5;2010-04-08T13:53:35.000+0300
0;PROD582;Anne Claire;V5 3rd;Org line A2;A2_5;2010-04-20T12:07:11.000+0300
0;PROD582;Anne Claire;V5 3rd;Org line A2;A2_5;2010-04-20T12:07:19.000+0300
0;PROD582;Sarah;V5 3rd;Org line A2;A2_5;2012-04-11T18:11:17.000+0300
0;PROD582;Sarah;V5 3rd;Org line A2;A2_5;2012-04-11T18:11:25.000+0300
0;PROD582;Loic;V5 3rd;Org line A2;A2_5;2012-05-03T12:10:10.000+0300
0;PROD582;Loic;V5 3rd;Org line A2;A2_5;2012-05-03T12:10:12.000+0300
0;PROD582;Siebel;V5 3rd;Org line A2;A2_5;2012-05-11T02:26:15.000+0300
1;PROD453;Adam;S42;Org line C;V3_2;2011-01-31T12:12:22.000+0200
1;PROD453;Adam;S42;Org line C;V3_2;2011-01-31T12:18:44.000+0200
1;PROD453;Adam;N52 2nd;Org line C;V3_2;2011-01-31T12:19:05.000+0200
1;PROD453;Denny;N52 2nd;Org line C;V3_2;2011-01-31T13:59:46.000+0200
1;PROD453;Denny;N52 2nd;Org line C;V3_2;2011-01-31T15:37:55.000+0200
1;PROD453;Denny;O3 3rd;Org line C;C_6;2011-02-03T09:28:58.000+0200
1;PROD453;Paul;O3 3rd;Org line C;C_6;2011-02-07T13:37:33.000+0200
1;PROD453;Paul;O3 3rd;Org line C;C_6;2011-02-07T13:38:25.000+0200
1;PROD453;?se;G140 2nd;Org line C;E_10;2011-03-09T12:08:06.000+0200
1;PROD453;?se;G140 2nd;Org line C;E_10;2011-03-09T12:27:05.000+0200
1;PROD453;Joseph;G140 2nd;Org line C;E_10;2011-03-10T12:53:10.000+0200
1;PROD453;Joseph;G140 2nd;Org line C;E_10;2011-03-10T12:53:22.000+0200
1;PROD453;Bj?rn T;G140 2nd;Org line C;E_10;2011-03-10T13:17:22.000+0200
1;PROD453;Bj?rn T;G140 2nd;Org line C;E_10;2011-03-10T13:21:51.000+0200
1;PROD453;Bj?rn T;G140 2nd;Org line C;E_10;2011-03-10T15:45:27.000+0200
1;PROD453;Bj?rn T;G140 2nd;Org line C;E_10;2011-03-14T08:56:20.000+0200
1;PROD453;?se;G140 2nd;Org line C;E_10;2011-03-14T08:58:01.000+0200
1;PROD453;?se;G140 2nd;Org line C;E_10;2011-03-14T08:58:55.000+0200
1;PROD453;Suliman;G140 2nd;Org line C;E_10;2011-04-05T18:59:52.000+0300
1;PROD453;Suliman;N52 2nd;Org line C;V3_2;2011-04-05T19:02:01.000+0300
1;PROD453;Denny;N52 2nd;Org line C;V3_2;2011-04-06T11:32:07.000+0300
1;PROD453;Denny;N52 2nd;Org line C;V3_2;2011-04-06T12:47:50.000+0300
1;PROD453;Jon;N52 2nd;Org line C;V3_2;2011-04-06T12:48:33.000+0300
1;PROD453;Jon;N52 2nd;Org line C;V3_2;2011-04-06T13:08:47.000+0300
1;PROD453;Jon;N52 2nd;Org line C;V3_2;2011-04-07T14:36:47.000+0300
1;PROD453;Jon;N52 2nd;Org line C;V3_2;2011-04-07T15:06:06.000+0300
1;PROD453;Jon;N52 2nd;Org line C;V3_2;2011-04-08T15:10:59.000+0300
1;PROD453;Jon;N52 2nd;Org line C;V3_2;2011-04-08T15:17:44.000+0300
1;PROD453;Jon;G137 2nd;Org line C;E_10;2011-04-08T15:20:00.000+0300
1;PROD453;Gustav;G137 2nd;Org line C;E_10;2011-04-12T16:16:47.000+0300
1;PROD453;Magnus;M25;Org line C;V3_2;2011-08-08T16:28:38.000+0300
1;PROD453;Magnus;M25;Org line C;V3_2;2011-09-12T12:22:38.000+0300
1;PROD453;Magnus;M25;Org line C;V3_2;2011-11-21T14:52:19.000+0200
1;PROD453;Magnus;M25;Org line C;V3_2;2011-11-21T14:52:57.000+0200
1;PROD453;Magnus;G142 2nd;Org line C;E_10;2012-01-25T16:50:41.000+0200
1;PROD453;Andreas;G142 2nd;Org line C;E_10;2012-01-25T16:53:07.000+0200
1;PROD453;Andreas;M25;Org line C;V3_2;2012-01-25T16:54:00.000+0200
1;PROD453;Torbj?rn;S42;Org line C;V3_2;2012-05-15T18:56:51.000+0300
1;PROD453;Torbj?rn;S42;Org line C;V3_2;2012-05-15T18:57:39.000+0300
1;PROD453;Siebel;S42;Org line C;V3_2;2012-05-23T02:22:25.000+0300
2;PROD706;Bert;D5;Org line C;A2_1;2011-02-24T17:17:46.000+0200
2;PROD706;Bert;D5;Org line C;A2_1;2011-02-24T17:17:52.000+0200
2;PROD706;Bert;V37 2nd;Org line V7n;;2011-02-24T17:19:35.000+0200
2;PROD706;Luc;V37 2nd;Org line V7n;;2011-02-28T14:46:38.000+0200
2;PROD706;Luc;D5;Org line C;A2_1;2011-02-28T14:47:22.000+0200
2;PROD706;Henk;D5;Org line C;A2_1;2011-02-28T14:48:12.000+0200
2;PROD706;Henk;V32 2nd;Org line V7n;;2011-02-28T14:53:24.000+0200
2;PROD706;Earl;V32 2nd;Org line V7n;;2011-05-04T19:07:37.000+0300
2;PROD706;Tsun Fai;V32 2nd;Org line V7n;;2012-02-17T15:49:34.000+0200
2;PROD706;Juan;V32 2nd;Org line V7n;;2012-03-21T17:21:44.000+0200
2;PROD706;Juan;V37 2nd;Org line V7n;;2012-03-26T12:55:35.000+0300
2;PROD706;Juan;V32 2nd;Org line V7n;;2012-03-26T12:57:04.000+0300
2;PROD706;Earl;V32 2nd;Org line V7n;;2012-04-03T16:29:44.000+0300
2;PROD706;Earl;V32 2nd;Org line V7n;;2012-04-03T16:29:49.000+0300
2;PROD706;Juan;V37 2nd;Org line V7n;;2012-05-04T09:58:20.000+0300
2;PROD706;Juan;V37 2nd;Org line V7n;;2012-05-04T09:59:39.000+0300
2;PROD706;Siebel;V37 2nd;Org line V7n;;2012-05-12T02:21:31.000+0300
3;PROD706;Ilona;D2;Org line C;A2_1;2011-02-28T15:13:33.000+0200
3;PROD706;Ilona;D2;Org line C;A2_1;2011-02-28T15:13:40.000+0200
3;PROD706;Ilona;V37 2nd;Org line V7n;;2011-02-28T15:17:09.000+0200
3;PROD706;Luc;V37 2nd;Org line V7n;;2011-03-01T16:59:36.000+0200
3;PROD706;Luc;D2;Org line C;A2_1;2011-03-01T17:00:16.000+0200
3;PROD706;Evy;D2;Org line C;A2_1;2011-03-01T19:34:25.000+0200
3;PROD706;Evy;D2;Org line C;A2_1;2011-03-01T19:46:00.000+0200
3;PROD706;Ilona;D2;Org line C;A2_1;2011-03-02T08:42:49.000+0200
3;PROD706;Ilona;V32 2nd;Org line V7n;;2011-03-02T08:44:11.000+0200
3;PROD706;Earl;V32 2nd;Org line V7n;;2011-05-04T19:08:55.000+0300
3;PROD706;Reinier;V37 2nd;Org line V7n;;2012-03-13T11:53:43.000+0200
3;PROD706;Juan;V37 2nd;Org line V7n;;2012-03-13T12:11:24.000+0200
3;PROD706;Juan;V32 2nd;Org line V7n;;2012-03-13T12:27:20.000+0200
3;PROD706;Earl;V32 2nd;Org line V7n;;2012-04-03T16:59:27.000+0300
3;PROD706;Earl;V32 2nd;Org line V7n;;2012-04-04T16:53:31.000+0300
3;PROD706;Earl;V32 2nd;Org line V7n;;2012-04-04T16:54:40.000+0300
3;PROD706;Juan;V37 2nd;Org line V7n;;2012-05-04T09:55:03.000+0300
3;PROD706;Juan;V37 2nd;Org line V7n;;2012-05-04T09:57:02.000+0300
3;PROD706;Siebel;V37 2nd;Org line V7n;;2012-05-12T02:21:30.000+0300
4;PROD542;Olga;D8;Org line A2;A2_1;2011-03-07T11:42:08.000+0200
4;PROD542;Olga;D8;Org line A2;A2_1;2011-03-07T11:44:43.000+0200
4;PROD542;Olga;D8;Org line A2;A2_1;2011-03-07T11:51:59.000+0200
4;PROD542;Olga;V37 2nd;Org line V7n;;2011-03-07T11:52:51.000+0200
4;PROD542;Luc;V37 2nd;Org line V7n;;2011-03-07T12:48:31.000+0200
4;PROD542;Luc;D8;Org line A2;A2_1;2011-03-07T12:55:20.000+0200
4;PROD542;Olga;D8;Org line A2;A2_1;2011-03-07T13:03:37.000+0200
4;PROD542;Olga;D8;Org line A2;A2_1;2011-03-07T13:04:35.000+0200
4;PROD542;Olga;D8;Org line A2;A2_1;2011-03-07T14:22:56.000+0200
4;PROD542;Olga;V37 2nd;Org line V7n;;2011-03-07T14:24:38.000+0200
4;PROD542;Luc;V37 2nd;Org line V7n;;2011-03-07T15:13:15.000+0200
4;PROD542;Luc;D8;Org line A2;A2_1;2011-03-07T15:13:58.000+0200
4;PROD542;Olga;D8;Org line A2;A2_1;2011-03-08T07:53:06.000+0200
4;PROD542;Olga;V37 2nd;Org line V7n;;2011-03-08T07:55:54.000+0200
4;PROD542;Luc;V37 2nd;Org line V7n;;2011-03-08T10:16:24.000+0200
4;PROD542;Luc;D8;Org line A2;A2_1;2011-03-08T10:18:18.000+0200
4;PROD542;Olga;D8;Org line A2;A2_1;2011-03-08T10:20:32.000+0200
4;PROD542;Olga;D8;Org line A2;A2_1;2011-03-08T10:22:46.000+0200
4;PROD542;Olga;D8;Org line A2;A2_1;2011-03-09T08:16:14.000+0200
