Case ID;Activity;Resource;Complete Timestamp;Span;Work Order  Qty;Part Desc.;Worker ID;Report Type
Case 100;Turning & Milling;Machine 8 - Turning & Milling;2012/02/20 17:57:00.000;000:48;18;Ballnut;ID4219;D
Case 100;Turning & Milling;Machine 8 - Turning & Milling;2012/02/21 02:57:00.000;004:00;18;Ballnut;ID4529;D
Case 100;Turning & Milling;Machine 8 - Turning & Milling;2012/02/21 11:03:00.000;004:18;18;Ballnut;ID4219;S
Case 100;Turning & Milling;Machine 8 - Turning & Milling;2012/02/21 12:08:00.000;001:04;18;Ballnut;ID4219;D
Case 100;Turning & Milling Q.C.;Quality Check 1;2012/02/22 15:10:00.000;000:22;18;Ballnut;ID4618;D
Case 100;Laser Marking;Machine 7- Laser Marking;2012/03/11 11:06:00.000;000:01;18;Ballnut;ID0998;D
Case 100;Flat Grinding;Machine 11 - Grinding;2012/03/11 12:45:00.000;000:22;18;Ballnut;ID0998;D
Case 100;Lapping;Machine 1 - Lapping;2012/03/11 13:18:00.000;000:32;18;Ballnut;ID4882;D
Case 100;Round Grinding;Machine 3 - Round Grinding;2012/03/13 10:41:00.000;000:07;18;Ballnut;ID4445;S
Case 100;Round Grinding;Machine 3 - Round Grinding;2012/03/13 15:12:00.000;004:31;18;Ballnut;ID4445;D
Case 100;Grinding Rework;Machine 12 - Grinding;2012/03/16 12:40:00.000;001:10;18;Ballnut;ID4872;D
Case 100;Final Inspection Q.C.;Quality Check 1;2012/03/19 14:06:00.000;002:45;18;Ballnut;ID4618;D
Case 100;Packing;Packing;2012/03/21 01:00:00.000;000:00;18;Ballnut;ID4820;D
Case 100;Final Inspection Q.C.;Quality Check 1;2012/03/21 07:03:00.000;000:01;18;Ballnut;ID4618;D
Case 106;Turning & Milling;Machine 8 - Turning & Milling;2012/03/15 15:44:00.000;005:30;39;Ballnut;ID0997;S
Case 106;Turning & Milling;Machine 8 - Turning & Milling;2012/03/15 20:38:00.000;003:43;39;Ballnut;ID4219;D
Case 106;Turning & Milling Q.C.;Quality Check 1;2012/03/19 07:28:00.000;000:28;39;Ballnut;ID4618;D
Case 106;Laser Marking;Machine 7- Laser Marking;2012/03/19 10:51:00.000;001:13;39;Ballnut;ID0998;D
Case 106;Flat Grinding;Machine 11 - Grinding;2012/03/19 15:20:00.000;000:38;39;Ballnut;ID4882;D
Case 106;Final Inspection Q.C.;Quality Check 1;2012/03/21 17:57:00.000;002:30;39;Ballnut;ID4618;D
Case 106;Packing;Packing;2012/03/22 01:00:00.000;000:00;39;Ballnut;ID4820;D
Case 106;Final Inspection Q.C.;Quality Check 1;2012/03/22 13:05:00.000;000:00;39;Ballnut;ID4618;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/01 06:35:00.000;002:46;500;Ballnut;ID4794;S
Case 110;Turning & Milling Q.C.;Quality Check 1;2012/03/01 11:00:00.000;001:00;500;Ballnut;ID4163;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/01 12:36:00.000;005:39;500;Ballnut;ID4529;S
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/01 15:46:00.000;003:09;500;Ballnut;ID4529;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/02 06:27:00.000;010:11;500;Ballnut;ID4794;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/02 12:47:00.000;006:02;500;Ballnut;ID4167;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/04 00:26:00.000;011:26;500;Ballnut;ID4529;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/04 06:46:00.000;007:10;500;Ballnut;ID4641;D
Case 110;Turning & Milling Q.C.;Quality Check 1;2012/03/04 07:51:00.000;000:31;500;Ballnut;ID4618;D
Case 110;Turning & Milling Q.C.;Quality Check 1;2012/03/06 07:29:00.000;000:07;500;Ballnut;ID4618;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/06 07:29:00.000;000:01;500;Ballnut;ID4794;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/08 04:17:00.000;003:09;500;Ballnut;ID4529;S
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/08 11:37:00.000;004:26;500;Ballnut;ID4794;S
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/08 15:52:00.000;004:15;500;Ballnut;ID4794;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/08 23:40:00.000;007:46;500;Ballnut;ID4167;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/09 06:51:00.000;005:03;500;Ballnut;ID4529;D
Case 110;Turning & Milling Q.C.;Quality Check 1;2012/03/09 07:32:00.000;000:42;500;Ballnut;ID4618;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/09 12:27:00.000;004:28;500;Ballnut;ID4429;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/11 06:35:00.000;007:09;500;Ballnut;ID4794;D
Case 110;Turning & Milling Q.C.;Quality Check 1;2012/03/11 07:42:00.000;000:44;500;Ballnut;ID4618;D
Case 110;Turning & Milling Q.C.;Quality Check 1;2012/03/11 09:17:00.000;000:00;500;Ballnut;ID4618;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/11 10:54:00.000;021:54;500;Ballnut;ID4932;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/11 16:09:00.000;009:14;500;Ballnut;ID4529;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/11 20:12:00.000;004:01;500;Ballnut;ID4429;D
Case 110;Turning & Milling Q.C.;Quality Check 1;2012/03/12 08:08:00.000;000:08;500;Ballnut;ID4618;D
Case 110;Turning & Milling Q.C.;Quality Check 1;2012/03/12 09:28:00.000;000:00;500;Ballnut;ID4618;D
Case 110;Turning & Milling Q.C.;Quality Check 1;2012/03/12 09:33:00.000;000:05;500;Ballnut;ID4618;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/16 06:47:00.000;007:37;500;Ballnut;ID4794;S
Case 110;Turning & Milling Q.C.;Quality Check 1;2012/03/16 08:32:00.000;001:34;500;Ballnut;ID4618;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/16 12:49:00.000;005:36;500;Ballnut;ID4529;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/18 02:26:00.000;002:32;500;Ballnut;ID4641;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/18 11:30:00.000;022:06;500;Ballnut;ID4932;D
Case 110;Laser Marking;Machine 7- Laser Marking;2012/03/19 16:06:00.000;003:37;500;Ballnut;ID0998;D
Case 110;Flat Grinding;Machine 11 - Grinding;2012/03/19 17:43:00.000;001:19;500;Ballnut;ID4528;D
Case 110;Laser Marking;Machine 7- Laser Marking;2012/03/19 22:32:00.000;001:03;500;Ballnut;ID0997;D
Case 110;Turning & Milling Q.C.;Quality Check 1;2012/03/20 09:44:00.000;002:52;500;Ballnut;ID4618;D
Case 110;Lapping;Machine 1 - Lapping;2012/03/20 11:58:00.000;002:12;500;Ballnut;ID0998;D
Case 110;Flat Grinding;Machine 11 - Grinding;2012/03/20 12:13:00.000;004:57;500;Ballnut;ID4528;D
Case 110;Turning & Milling Q.C.;Quality Check 1;2012/03/20 12:51:00.000;000:00;500;Ballnut;ID4618;D
Case 110;Turning & Milling Q.C.;Quality Check 1;2012/03/20 13:41:00.000;000:56;500;Ballnut;ID4618;D
Case 110;Turning & Milling Q.C.;Quality Check 1;2012/03/22 11:46:00.000;000:16;500;Ballnut;ID4618;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/22 11:51:00.000;004:18;500;Ballnut;ID4794;S
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/22 13:30:00.000;001:39;500;Ballnut;ID4794;D
Case 110;Lapping;Machine 1 - Lapping;2012/03/22 14:33:00.000;002:18;500;Ballnut;ID4718;D
Case 110;Lapping;Machine 1 - Lapping;2012/03/22 16:22:00.000;002:40;500;Ballnut;ID0998;D
Case 110;Flat Grinding;Machine 11 - Grinding;2012/03/22 17:37:00.000;000:00;500;Ballnut;ID0998;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/22 23:30:00.000;007:00;500;Ballnut;ID4794;D
Case 110;Lapping;Machine 1 - Lapping;2012/03/23 01:15:00.000;000:00;500;Ballnut;ID4882;D
Case 110;Turning & Milling Q.C.;Quality Check 1;2012/03/23 07:24:00.000;000:21;500;Ballnut;ID4618;D
Case 110;Lapping;Machine 1 - Lapping;2012/03/23 11:39:00.000;000:01;500;Ballnut;ID0998;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/23 12:42:00.000;005:30;500;Ballnut;ID4794;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/24 07:00:00.000;010:01;500;Ballnut;ID4167;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/25 03:35:00.000;004:44;500;Ballnut;ID4794;D
Case 110;Turning & Milling;Machine 6 - Turning & Milling;2012/03/25 12:58:00.000;023:25;500;Ballnut;ID4932;D
Case 110;Lapping;Machine 1 - Lapping;2012/03/26 01:15:00.000;000:00;500;Ballnut;ID4882;D
Case 110;Laser Marking;Machine 7- Laser Marking;2012/03/26 07:16:00.000;000:13;500;Ballnut;ID4882;D
