Action;Activity_details;Activity_type;DB_File_Num;uniquesod;koddoc;time:timestamp;User_id
Добавление документа;[Передача в производство]; тип [Лимитки ->Списание на производство (фасовочное отделение)]; файл dc000045;; koddoc = 5937537;2012-07-02T00:00:01.000+0300;17
Добавление документа;[Рабочая рецептура]; тип [Производство полуфаб->Рабочая рецептура на смесь]; файл dc000052;; koddoc = 5937711;2012-07-02T06:33:15.000+0300;276
Добавление документа;[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937713;2012-07-02T06:35:12.000+0300;282
ДДобавление документа;[Раскладка брака по компонентам]; тип [Производство полуфаб->Разборка брака ГП]; файл dc000052;; koddoc = 5937785;2012-07-02T07:25:22.000+0300;276
Добавление документа;[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937786;2012-07-02T07:25:22.000+0300;282
Добавление документа;[Рабочая рецептура]; тип [Производство полуфаб->Рабочая рецептура на смесь]; файл dc000052;; koddoc = 5937802;2012-07-02T07:27:41.000+0300;276
Добавление документа;[Передача в производство]; тип [Лимитки ->Списание на производство (вафельное отделение)]; файл dc000045;; koddoc = 5937818;2012-07-02T07:55:18.000+0300;285
Добавление документа;[Рабочая рецептура]; тип [Производство полуфаб->Рабочая рецептура на смесь]; файл dc000052;; koddoc = 5937928;2012-07-02T08:38:58.000+0300;276
Добавление документа;[Приход сырья No 426]; тип [Приход на склад ->Приход сырья (лаборатория)]; файл dc000002;; koddoc = 5938596;2012-07-02T09:32:29.000+0300;284
Добавление содержимого док-та;[Приход сырья No 426]; тип [Приход на склад ->Приход сырья (лаборатория)]; файл sd000002; uniquesod = 24650 [Г-ящик № 8];;2012-07-02T09:32:59.000+0300;284
Добавление документа;[Передача в производство]; тип [Лимитки ->Списание на производство (заготовительное отделение)]; файл dc000045;; koddoc = 5938607;2012-07-02T09:35:10.000+0300;276
