traceId;attr2;attr1;attr4;time:timestamp;attr3;
0;val1;val1;val1;Apr 12, 2010 11:05:58 AM;val1;
0;val2;val2;val2;Apr 12, 2010 11:05:58 AM;val2;
0;val3;val3;val3;Apr 12, 2010 11:05:58 AM;val3;
1;val2;val2;val2;Apr 12, 2010 11:05:58 AM;val2;
1;val1;val1;val1;Apr 12, 2010 11:05:58 AM;val1;
1;val3;val3;val3;Apr 12, 2010 11:05:58 AM;val3;
2;val3;val3;val3;Apr 12, 2010 11:05:58 AM;val3;
2;val1;val1;val1;Apr 12, 2010 11:05:58 AM;val1;
2;val2;val2;val2;Apr 12, 2010 11:05:58 AM;val2;
3;val3;val3;val3;Apr 12, 2010 11:05:58 AM;val3;
3;val2;val2;val2;Apr 12, 2010 10:55:58 AM;val2;
3;val1;val1;val1;Apr 12, 2010 11:05:58 AM;val1;
4;val1;val1;val1;Apr 12, 2010 11:05:58 AM;val1;
4;val2;val2;val2;Apr 12, 2010 11:05:58 AM;val2;
4;val3;val3;val3;Apr 12, 2010 11:05:58 AM;val3;
5;val2;val2;val2;Apr 12, 2010 11:05:58 AM;val2;
5;val1;val1;val1;Apr 12, 2010 11:05:58 AM;val1;
5;val3;val3;val3;Apr 12, 2010 11:05:58 AM;val3;
6;val3;val3;val3;Apr 12, 2010 11:05:58 AM;val3;
6;val1;val1;val1;Apr 12, 2010 11:05:58 AM;val1;
6;val2;val2;val2;Apr 12, 2010 11:05:58 AM;val2;
7;val3;val3;val3;Apr 12, 2010 11:05:58 AM;val3;
7;val2;val2;val2;Apr 12, 2010 11:05:58 AM;val2;
7;val1;val1;val1;Apr 12, 2010 11:05:58 AM;val1;
8;val1;val1;val1;Apr 12, 2010 11:05:58 AM;val1;
8;val2;val2;val2;Apr 12, 2010 11:05:58 AM;val2;
8;val3;val3;val3;Apr 12, 2010 11:05:58 AM;val3;
9;val2;val2;val2;Apr 12, 2010 11:05:58 AM;val2;
9;val1;val1;val1;Apr 12, 2010 11:05:58 AM;val1;
9;val3;val3;val3;Apr 12, 2010 11:05:58 AM;val3;
10;val3;val3;val3;Apr 12, 2010 11:05:58 AM;val3;
10;val1;val1;val1;Apr 12, 2010 11:05:58 AM;val1;
10;val2;val2;val2;Apr 12, 2010 11:05:58 AM;val2;
11;val3;val3;val3;Apr 12, 2010 11:05:58 AM;val3;
11;val2;val2;val2;Apr 12, 2010 11:05:58 AM;val2;
11;val1;val1;val1;Apr 12, 2010 11:05:58 AM;val1;
